Page not found · GitHub Pages




404
File not found

        The site configured at this address does not
        contain the requested file.
      

        If this is your site,make sure that the filename case matches the URL
兵团卫视,http://119.100.145.44:10000/rtp/239.254.96.48:8262
兵团卫视,http://183.191.140.36:8001/rtp/226.0.2.62:8408
兵团卫视,http://117.8.142.39:8833/rtp/225.1.1.57:5002
兵团卫视,http://175.0.75.199:8889/rtp/239.76.252.232:9000
兵团卫视,http://175.0.75.199:8889/rtp/239.76.245.232:1234
兵团卫视,http://113.95.142.204:30001/rtp/239.77.0.48:5146
兵团卫视,http://113.95.142.204:30001/rtp/239.77.0.77:5146
兵团卫视,http://113.95.142.204:30001/rtp/239.77.1.29:5146
兵团卫视,http://171.127.248.124:8085/rtp/226.0.2.62:8408
兵团卫视,http://183.188.159.39:6000/rtp/226.0.2.62:8408
兵团卫视,http://183.188.159.39:6001/rtp/226.0.2.62:8408
兵团卫视,http://27.13.103.33:8899/rtp/225.0.4.72:7980
兵团卫视,http://124.77.179.110:8686/rtp/233.18.204.221:5140
兵团卫视,http://124.77.179.110:8686/rtp/233.18.204.148:5140
兵团卫视,http://125.122.51.106:8888/rtp/233.50.202.44:5140
兵团卫视,http://58.48.105.39:19999/rtp/239.69.2.32:11346
兵团卫视,http://58.48.105.39:19999/rtp/239.254.96.48:8262
兵团卫视,http://113.90.237.23:8888/rtp/239.77.0.48:5146
兵团卫视,http://113.90.237.23:8888/rtp/239.77.0.77:5146
兵团卫视,http://113.90.237.23:8888/rtp/239.77.1.29:5146
兵团卫视,http://183.184.229.108:8001/rtp/226.0.2.62:8408
兵团卫视,http://222.141.132.10:8888/rtp/225.1.4.97:1126
兵团卫视,http://222.141.133.101:8888/rtp/225.1.4.97:1126
内蒙卫视,http://221.205.206.162:9003/hls/38/index.m3u8
农林卫视,http://110.72.78.203:8181/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0$#1
南方卫视,http://116.77.33.98:44330/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0$576P
南方卫视,http://180.109.75.116:4022/rtp/239.49.1.249:6000
南方卫视,http://117.90.94.246:6000/rtp/239.49.1.249:6000
南方卫视,http://114.239.154.183:4000/rtp/239.49.1.249:6000
南方卫视,http://121.233.142.69:8888/rtp/239.49.1.249:6000
南方卫视,http://114.224.121.66:8888/rtp/239.49.1.249:6000
卡通卫视,http://42.84.216.255:777/hls/494596185/index.m3u8
山东教育卫视,http://114.253.252.188:4022/rtp/239.3.1.52:4120$#3
山东教育卫视,http://114.249.13.164:4022/rtp/239.3.1.52:4120$#1
山东教育卫视,http://171.83.34.250:8888/rtp/239.69.1.228:11010
山东教育卫视,http://119.100.145.44:10000/rtp/239.69.1.228:11010
山东教育卫视,http://183.191.140.36:8001/rtp/226.0.2.130:8952
山东教育卫视,http://117.8.142.39:8833/rtp/225.1.2.118:5002
山东教育卫视,http://113.95.142.204:30001/rtp/239.77.1.35:5146
山东教育卫视,http://171.127.248.124:8085/rtp/226.0.2.130:8952
山东教育卫视,http://183.188.159.39:6000/rtp/226.0.2.130:8952
山东教育卫视,http://183.188.159.39:6001/rtp/226.0.2.130:8952
山东教育卫视,http://27.13.103.33:8899/rtp/225.0.4.183:7980
山东教育卫视,http://58.48.105.39:19999/rtp/239.69.1.228:11010
山东教育卫视,http://113.90.237.23:8888/rtp/239.77.1.35:5146
山东教育卫视,http://183.184.229.108:8001/rtp/226.0.2.130:8952
山东教育卫视,http://114.243.174.234:8888/rtp/239.3.1.52:4120
广西卫视,http://183.62.8.58:50085/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$1080P
广西卫视,http://114.253.252.188:4022/rtp/239.3.1.39:8300$#3
广西卫视,http://60.187.247.136:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$576P
广西卫视,http://114.249.13.164:4022/rtp/239.3.1.39:8300$#1
广西卫视,http://121.19.134.141:808/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$#1
广西卫视,http://110.72.78.203:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$#1
广西卫视,http://58.35.123.183:3333/rtp/233.18.204.107:5140
广西卫视,http://58.35.123.183:3333/rtp/233.18.204.123:5140
广西卫视,http://180.109.75.116:4022/rtp/239.49.1.40:6000
广西卫视,http://180.109.75.116:4022/rtp/239.49.8.209:6000
广西卫视,http://171.83.34.250:8888/rtp/239.69.1.191:10788
广西卫视,http://171.83.34.250:8888/rtp/239.254.96.23:8112
广西卫视,http://117.90.94.246:6000/rtp/239.49.1.40:6000
广西卫视,http://117.90.94.246:6000/rtp/239.49.8.209:6000
广西卫视,http://36.158.75.239:8088/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://114.239.154.183:4000/rtp/239.49.1.40:6000
广西卫视,http://114.239.154.183:4000/rtp/239.49.8.209:6000
广西卫视,http://42.233.234.157:4022/rtp/225.1.4.31:1060
广西卫视,http://119.100.145.44:10000/rtp/239.69.1.191:10788
广西卫视,http://119.100.145.44:10000/rtp/239.254.96.23:8112
广西卫视,http://183.191.140.36:8001/rtp/226.0.2.231:9760
广西卫视,http://183.191.140.36:8001/rtp/226.0.2.46:8280
广西卫视,http://117.8.142.39:8833/rtp/225.1.2.81:5002
广西卫视,http://175.0.75.199:8889/rtp/239.76.254.54:9000
广西卫视,http://113.95.142.204:30001/rtp/239.77.0.139:5146
广西卫视,http://113.95.142.204:30001/rtp/239.253.43.36:5146
广西卫视,http://171.127.248.124:8085/rtp/226.0.2.231:9760
广西卫视,http://171.127.248.124:8085/rtp/226.0.2.46:8280
广西卫视,http://183.188.159.39:6000/rtp/226.0.2.231:9760
广西卫视,http://183.188.159.39:6000/rtp/226.0.2.46:8280
广西卫视,http://183.188.159.39:6001/rtp/226.0.2.231:9760
广西卫视,http://183.188.159.39:6001/rtp/226.0.2.46:8280
广西卫视,http://27.13.103.33:8899/rtp/225.0.4.34:7980
广西卫视,http://124.77.179.110:8686/rtp/233.18.204.107:5140
广西卫视,http://124.77.179.110:8686/rtp/233.18.204.123:5140
广西卫视,http://221.205.206.162:9003/hls/27/index.m3u8
广西卫视,http://39.89.79.208:4000/rtp/239.253.254.197:8000
广西卫视,http://125.122.51.106:8888/rtp/233.50.200.136:5140
广西卫视,http://58.48.105.39:19999/rtp/239.69.1.191:10788
广西卫视,http://58.48.105.39:19999/rtp/239.254.96.23:8112
广西卫视,http://113.90.237.23:8888/rtp/239.77.0.139:5146
广西卫视,http://113.90.237.23:8888/rtp/239.253.43.36:5146
广西卫视,http://183.184.229.108:8001/rtp/226.0.2.231:9760
广西卫视,http://183.184.229.108:8001/rtp/226.0.2.46:8280
广西卫视,http://171.8.168.153:8811/rtp/239.16.20.84:10840
广西卫视,http://171.8.168.153:8811/rtp/239.16.10.18:2000
广西卫视,http://222.141.132.10:8888/rtp/225.1.4.31:1060
广西卫视,http://114.243.174.234:8888/rtp/239.3.1.39:8300
广西卫视,http://222.141.133.101:8888/rtp/225.1.4.31:1060
广西卫视,http://121.233.142.69:8888/rtp/239.49.1.40:6000
广西卫视,http://121.233.142.69:8888/rtp/239.49.8.209:6000
广西卫视,http://114.224.121.66:8888/rtp/239.49.1.40:6000
广西卫视,http://114.224.121.66:8888/rtp/239.49.8.209:6000
广西卫视,http://121.30.39.47:888/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://121.30.38.203:888/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://58.35.123.183:3333/rtp/233.18.204.155:5140
延边卫视,http://113.95.142.204:30001/rtp/239.77.0.10:5146
延边卫视,http://113.95.142.204:30001/rtp/239.77.1.99:5146
延边卫视,http://124.77.179.110:8686/rtp/233.18.204.155:5140
延边卫视,http://113.90.237.23:8888/rtp/239.77.0.10:5146
延边卫视,http://113.90.237.23:8888/rtp/239.77.1.99:5146
河东卫视,http://117.8.142.39:8833/rtp/225.1.2.2:5002
河南卫视4K6M,http://171.8.168.153:8811/rtp/239.16.20.199:11990
河西卫视,http://117.8.142.39:8833/rtp/225.1.2.4:5002
海南卫视,http://180.109.75.116:4022/rtp/239.49.1.41:6000
海南卫视,http://180.109.75.116:4022/rtp/239.49.8.212:6000
海南卫视,http://117.90.94.246:6000/rtp/239.49.1.41:6000
海南卫视,http://117.90.94.246:6000/rtp/239.49.8.212:6000
海南卫视,http://114.239.154.183:4000/rtp/239.49.1.41:6000
海南卫视,http://114.239.154.183:4000/rtp/239.49.8.212:6000
海南卫视,http://42.233.234.157:4022/rtp/225.1.4.25:1054
海南卫视,http://42.233.234.157:4022/rtp/225.1.4.195:1310
海南卫视,http://117.8.142.39:8833/rtp/225.1.2.82:5002
海南卫视,http://113.95.142.204:30001/rtp/239.253.43.35:5146
海南卫视,http://113.95.142.204:30001/rtp/239.253.43.101:5146
海南卫视,http://221.205.206.162:9003/hls/28/index.m3u8
海南卫视,http://42.84.216.255:777/hls/486344274/index.m3u8
海南卫视,http://39.89.79.208:4000/rtp/239.253.254.179:8000
海南卫视,http://125.122.51.106:8888/rtp/233.50.200.165:5140
海南卫视,http://113.90.237.23:8888/rtp/239.253.43.35:5146
海南卫视,http://113.90.237.23:8888/rtp/239.253.43.101:5146
海南卫视,http://171.8.168.153:8811/rtp/239.16.20.97:10970
海南卫视,http://171.8.168.153:8811/rtp/239.16.10.43:2000
海南卫视,http://222.141.132.10:8888/rtp/225.1.4.25:1054
海南卫视,http://222.141.132.10:8888/rtp/225.1.4.195:1310
海南卫视,http://222.141.133.101:8888/rtp/225.1.4.25:1054
海南卫视,http://222.141.133.101:8888/rtp/225.1.4.195:1310
海南卫视,http://121.233.142.69:8888/rtp/239.49.1.41:6000
海南卫视,http://121.233.142.69:8888/rtp/239.49.8.212:6000
海南卫视,http://114.224.121.66:8888/rtp/239.49.1.41:6000
海南卫视,http://114.224.121.66:8888/rtp/239.49.8.212:6000
渐江卫视,http://58.35.123.183:3333/rtp/233.18.204.121:5140
渐江卫视,http://124.77.179.110:8686/rtp/233.18.204.121:5140
福建卫视,http://36.158.75.239:8088/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
福建卫视,http://221.205.206.162:9003/hls/24/index.m3u8
蓟州卫视,http://117.8.142.39:8833/rtp/225.1.1.82:5002
静海卫视,http://117.8.142.39:8833/rtp/225.1.1.110:5002
黑龙江卫视清,http://180.109.75.116:4022/rtp/239.49.8.144:6000
黑龙江卫视清,http://117.90.94.246:6000/rtp/239.49.8.144:6000
黑龙江卫视清,http://114.239.154.183:4000/rtp/239.49.8.144:6000
黑龙江卫视清,http://121.233.142.69:8888/rtp/239.49.8.144:6000
黑龙江卫视清,http://114.224.121.66:8888/rtp/239.49.8.144:6000
广东珠江,http://183.62.8.58:50085/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$1080P
广东新闻,http://183.62.8.58:50085/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$576P
广东公共,http://183.62.8.58:50085/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$576P
广东体育,http://183.62.8.58:50085/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$1080P
卡酷动画,http://183.62.8.58:50085/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$576P
酒店视频,http://183.62.8.58:50085/iptv/live/1.mp4?key=txiptv$368P
酒店视频2,http://183.62.8.58:50085/iptv/live/2.mp4?key=txiptv$368P
酒店视频,http://116.77.33.98:44330/iptv/live/987.mp4?key=txiptv$544P
深圳都市,http://116.77.33.98:44330/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0$720P
深圳电视剧,http://116.77.33.98:44330/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0$720P
深圳少儿,http://116.77.33.98:44330/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0$720P
天威TVG,http://116.77.33.98:44330/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0$720P
Channel [V],http://116.77.33.98:44330/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0$576P
广东体育,http://116.77.33.98:44330/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0$720P
广东公共,http://116.77.33.98:44330/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$576P
广东新闻,http://116.77.33.98:44330/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0$576P
澳视澳门,http://116.77.33.98:44330/tsfile/live/0114_1.m3u8?key=txiptv&playlive=0&authid=0$1080P
重温经典,http://116.77.33.98:44330/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0$720P
CGTN纪录,http://114.253.252.188:4022/rtp/239.3.1.216:4220$#3
CGTN俄语,http://114.253.252.188:4022/rtp/239.3.1.220:4220$#3
CGTN阿语,http://114.253.252.188:4022/rtp/239.3.1.219:4220$#3
CGTN西语,http://114.253.252.188:4022/rtp/239.3.1.217:4220$#3
茶频道,http://114.253.252.188:4022/rtp/239.3.1.165:8001$#3
CGTN法语,http://114.253.252.188:4022/rtp/239.3.1.218:4220$#3
金鹰纪实,http://114.253.252.188:4022/rtp/239.3.1.58:8156$#3
快乐垂钓,http://114.253.252.188:4022/rtp/239.3.1.164:8001$#3
中国交通,http://114.253.252.188:4022/rtp/239.3.1.188:8001$#3
北京体育休闲,http://114.253.252.188:4022/rtp/239.3.1.243:8000$#3
北京财经,http://114.253.252.188:4022/rtp/239.3.1.116:8000$#3
北京国际,http://114.253.252.188:4022/rtp/239.3.1.235:8000$#3
北京房山,http://114.253.252.188:4022/rtp/239.3.1.96:8001$#3
北京生活,http://114.253.252.188:4022/rtp/239.3.1.117:8000$#3
北京影视,http://114.253.252.188:4022/rtp/239.3.1.158:8000$#3
北京新闻,http://114.253.252.188:4022/rtp/239.3.1.159:8000$#3
睛彩青少,http://114.253.252.188:4022/rtp/239.3.1.127:8001$#3
北京纪实科教,http://114.253.252.188:4022/rtp/239.3.1.115:8000$#3
北京文艺,http://114.253.252.188:4022/rtp/239.3.1.242:8000$#3
北京朝阳,http://114.253.252.188:4022/rtp/239.3.1.163:8001$#3
淘剧场,http://114.253.252.188:4022/rtp/239.3.1.95:8001$#3
淘电影,http://114.253.252.188:4022/rtp/239.3.1.250:8001$#3
北京门头沟,http://114.253.252.188:4022/rtp/239.3.1.59:8001$#3
北京通州,http://114.253.252.188:4022/rtp/239.3.1.221:8001$#3
IPTV光影,http://114.253.252.188:4022/rtp/239.3.1.84:4120$#3
IPTV军事,http://114.253.252.188:4022/rtp/239.3.1.76:4120$#3
睛彩竞技,http://114.253.252.188:4022/rtp/239.3.1.125:8001$#3
淘baby,http://114.253.252.188:4022/rtp/239.3.1.238:8001$#3
睛彩篮球,http://114.253.252.188:4022/rtp/239.3.1.126:8001$#3
睛彩广场舞,http://114.253.252.188:4022/rtp/239.3.1.128:8001$#3
IPTV军旅剧场,http://114.253.252.188:4022/rtp/239.3.1.69:4120$#3
IPTV动画,http://114.253.252.188:4022/rtp/239.3.1.80:4120$#3
IPTV好学生,http://114.253.252.188:4022/rtp/239.3.1.81:4120$#3
IPTV少儿动画,http://114.253.252.188:4022/rtp/239.3.1.199:9000$#3
聚鲨环球精选,http://114.253.252.188:4022/rtp/239.3.1.160:8001$#3
IPTV经典电影,http://114.253.252.188:4022/rtp/239.3.1.195:9024$#3
聚鲨环球精选,http://114.253.252.188:4022/rtp/239.3.1.179:8001$#3
IPTV热播剧场,http://114.253.252.188:4022/rtp/239.3.1.194:9020$#3
北京密云,http://114.253.252.188:4022/rtp/239.3.1.154:8001$#3
IPTV早教,http://114.253.252.188:4022/rtp/239.3.1.79:4120$#3
北京延庆,http://114.253.252.188:4022/rtp/239.3.1.187:8001$#3
IPTV星影,http://114.253.252.188:4022/rtp/239.3.1.94:4120$#3
IPTV美妆,http://114.253.252.188:4022/rtp/239.3.1.72:4120$#3
IPTV都市剧场,http://114.253.252.188:4022/rtp/239.3.1.67:4120$#3
IPTV动作影院,http://114.253.252.188:4022/rtp/239.3.1.92:4120$#3
IPTV国学,http://114.253.252.188:4022/rtp/239.3.1.77:4120$#3
IPTV喜剧剧场,http://114.253.252.188:4022/rtp/239.3.1.91:4120$#3
IPTV地理,http://114.253.252.188:4022/rtp/239.3.1.71:4120$#3
IPTV家庭影院,http://114.253.252.188:4022/rtp/239.3.1.93:4120$#3
萌宠TV,http://114.253.252.188:4022/rtp/239.3.1.102:8001$#3
IPTV影视,http://114.253.252.188:4022/rtp/239.3.1.88:4120$#3
IPTV戏曲,http://114.253.252.188:4022/rtp/239.3.1.78:4120$#3
IPTV精选,http://114.253.252.188:4022/rtp/239.3.1.74:4120$#3
IPTV武术,http://114.253.252.188:4022/rtp/239.3.1.87:4120$#3
IPTV武侠剧场,http://114.253.252.188:4022/rtp/239.3.1.90:4120$#3
IPTV美人,http://114.253.252.188:4022/rtp/239.3.1.73:4120$#3
IPTV解密,http://114.253.252.188:4022/rtp/239.3.1.75:4120$#3
IPTV魅力时尚,http://114.253.252.188:4022/rtp/239.3.1.196:9012$#3
IPTV墨宝,http://114.253.252.188:4022/rtp/239.3.1.83:4120$#3
IPTV军旅剧场,http://114.253.252.188:4022/rtp/239.3.1.68:4120$#3
IPTV音乐现场,http://114.253.252.188:4022/rtp/239.3.1.70:4120$#3
财富天下,http://114.253.252.188:4022/rtp/239.3.1.53:9136$#3
IPTV鉴赏,http://114.253.252.188:4022/rtp/239.3.1.82:4120$#3
爱上4K,http://114.253.252.188:4022/rtp/239.3.1.236:2000$#3
淘娱乐,http://114.253.252.188:4022/rtp/239.3.1.100:8001$#3
长影频道,http://175.22.10.193:85/tsfile/live/0013_2.m3u8?key=txiptv&playlive=1&authid=0$#1
CGTN纪录,http://114.249.13.164:4022/rtp/239.3.1.216:4220$#1
CGTN阿语,http://114.249.13.164:4022/rtp/239.3.1.219:4220$#1
快乐垂钓,http://114.249.13.164:4022/rtp/239.3.1.164:8001$#1
CGTN西语,http://114.249.13.164:4022/rtp/239.3.1.217:4220$#1
CGTN俄语,http://114.249.13.164:4022/rtp/239.3.1.220:4220$1080P
金鹰纪实,http://114.249.13.164:4022/rtp/239.3.1.58:8156$1080P
茶频道,http://114.249.13.164:4022/rtp/239.3.1.165:8001$1080P
CGTN法语,http://114.249.13.164:4022/rtp/239.3.1.218:4220$1080P
中国交通,http://114.249.13.164:4022/rtp/239.3.1.188:8001$#1
北京新闻,http://114.249.13.164:4022/rtp/239.3.1.159:8000$#1
北京影视,http://114.249.13.164:4022/rtp/239.3.1.158:8000$#1
北京生活,http://114.249.13.164:4022/rtp/239.3.1.117:8000$1080P
北京文艺,http://114.249.13.164:4022/rtp/239.3.1.242:8000$#1
北京体育休闲,http://114.249.13.164:4022/rtp/239.3.1.243:8000$#1
北京国际,http://114.249.13.164:4022/rtp/239.3.1.235:8000$#1
北京延庆,http://114.249.13.164:4022/rtp/239.3.1.187:8001$#1
北京密云,http://114.249.13.164:4022/rtp/239.3.1.154:8001$#1
北京纪实科教,http://114.249.13.164:4022/rtp/239.3.1.115:8000$1080P
北京房山,http://114.249.13.164:4022/rtp/239.3.1.96:8001$1080P
北京财经,http://114.249.13.164:4022/rtp/239.3.1.116:8000$1080P
北京朝阳,http://114.249.13.164:4022/rtp/239.3.1.163:8001$1080P
北京门头沟,http://114.249.13.164:4022/rtp/239.3.1.59:8001$#1
北京通州,http://114.249.13.164:4022/rtp/239.3.1.221:8001$1080P
淘娱乐,http://114.249.13.164:4022/rtp/239.3.1.100:8001$#1
淘电影,http://114.249.13.164:4022/rtp/239.3.1.250:8001$1080P
淘剧场,http://114.249.13.164:4022/rtp/239.3.1.95:8001$#1
睛彩竞技,http://114.249.13.164:4022/rtp/239.3.1.125:8001$1080P
萌宠TV,http://114.249.13.164:4022/rtp/239.3.1.102:8001$1080P
淘baby,http://114.249.13.164:4022/rtp/239.3.1.238:8001$1080P
睛彩广场舞,http://114.249.13.164:4022/rtp/239.3.1.128:8001$1080P
睛彩青少,http://114.249.13.164:4022/rtp/239.3.1.127:8001$1080P
IPTV少儿动画,http://114.249.13.164:4022/rtp/239.3.1.199:9000$1080P
睛彩篮球,http://114.249.13.164:4022/rtp/239.3.1.126:8001$1080P
聚鲨环球精选,http://114.249.13.164:4022/rtp/239.3.1.160:8001$#1
聚鲨环球精选,http://114.249.13.164:4022/rtp/239.3.1.179:8001$1080P
IPTV热播剧场,http://114.249.13.164:4022/rtp/239.3.1.194:9020$1080P
IPTV魅力时尚,http://114.249.13.164:4022/rtp/239.3.1.196:9012$#1
IPTV经典电影,http://114.249.13.164:4022/rtp/239.3.1.195:9024$1080P
IPTV军事,http://114.249.13.164:4022/rtp/239.3.1.76:4120$1080P
IPTV军旅剧场,http://114.249.13.164:4022/rtp/239.3.1.68:4120$#1
IPTV光影,http://114.249.13.164:4022/rtp/239.3.1.84:4120$1080P
IPTV军旅剧场,http://114.249.13.164:4022/rtp/239.3.1.69:4120$#1
IPTV墨宝,http://114.249.13.164:4022/rtp/239.3.1.83:4120$#1
IPTV动画,http://114.249.13.164:4022/rtp/239.3.1.80:4120$#1
IPTV动作影院,http://114.249.13.164:4022/rtp/239.3.1.92:4120$#1
